word,korean_meaning,selected_pos,selected_meaning,english_definition,example_sentence,example_translation,topic_group,assigned_topic,skipped_topics,skip_reason,image_prompt,video_prompt,safety_replaced,quality_status,generation_status,retry_count,failure_reason,manual_review
lecture,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The lecture is important.,lecture(은) 는 중요하다.,관심사,소설 쓰기,,,"cartoon style, writing desk, notebook, illustrate: The lecture is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The lecture is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
academic,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The academic is important.,academic(은) 는 중요하다.,학습,초등학교 6 학년 과학,,,"cartoon style, laboratory, science experiment, illustrate: The academic is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The academic is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
encourage,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The encourage is important.,encourage(은) 는 중요하다.,관심사,음악,,,"cartoon style, musical instruments, stage, illustrate: The encourage is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The encourage is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
debate,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The debate is important.,debate(은) 는 중요하다.,학습,초등학교 6 학년 사회,,,"cartoon style, classroom, social studies, illustrate: The debate is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The debate is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
president,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The president is important.,president(은) 는 중요하다.,관심사,스포츠,,,"cartoon style, sports field, active pose, illustrate: The president is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The president is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
assignment,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The assignment is important.,assignment(은) 는 중요하다.,학습,초등학교 6 학년 과학,,,"cartoon style, laboratory, science experiment, illustrate: The assignment is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The assignment is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
principal,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The principal is important.,principal(은) 는 중요하다.,관심사,게임,,,"cartoon style, bright colors, game scene, illustrate: The principal is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The principal is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
principle,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The principle is important.,principle(은) 는 중요하다.,학습,초등학교 6 학년 사회,,,"cartoon style, classroom, social studies, illustrate: The principle is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The principle is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
graduate,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The graduate is important.,graduate(은) 는 중요하다.,관심사,코딩,,,"cartoon style, computer screen, coding interface, illustrate: The graduate is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The graduate is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
sense,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The sense is important.,sense(은) 는 중요하다.,학습,초등학교 6 학년 과학,,,"cartoon style, laboratory, science experiment, illustrate: The sense is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The sense is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
real,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The real is important.,real(은) 는 중요하다.,관심사,인공지능,,,"cartoon style, robot, futuristic, illustrate: The real is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The real is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
annual,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The annual is important.,annual(은) 는 중요하다.,학습,초등학교 6 학년 사회,,,"cartoon style, classroom, social studies, illustrate: The annual is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The annual is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
collect,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The collect is important.,collect(은) 는 중요하다.,관심사,소설 쓰기,,,"cartoon style, writing desk, notebook, illustrate: The collect is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The collect is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
deadline,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The deadline is important.,deadline(은) 는 중요하다.,학습,초등학교 6 학년 과학,,,"cartoon style, laboratory, science experiment, illustrate: The deadline is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The deadline is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
confident,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The confident is important.,confident(은) 는 중요하다.,관심사,음악,,,"cartoon style, musical instruments, stage, illustrate: The confident is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The confident is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
include,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The include is important.,include(은) 는 중요하다.,학습,초등학교 6 학년 사회,,,"cartoon style, classroom, social studies, illustrate: The include is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The include is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
shout,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The shout is important.,shout(은) 는 중요하다.,관심사,스포츠,,,"cartoon style, sports field, active pose, illustrate: The shout is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The shout is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
subject,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The subject is important.,subject(은) 는 중요하다.,학습,초등학교 6 학년 과학,,,"cartoon style, laboratory, science experiment, illustrate: The subject is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The subject is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
participate,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The participate is important.,participate(은) 는 중요하다.,관심사,게임,,,"cartoon style, bright colors, game scene, illustrate: The participate is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The participate is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
auditorium,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The auditorium is important.,auditorium(은) 는 중요하다.,학습,초등학교 6 학년 사회,,,"cartoon style, classroom, social studies, illustrate: The auditorium is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The auditorium is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
inform,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The inform is important.,inform(은) 는 중요하다.,관심사,코딩,,,"cartoon style, computer screen, coding interface, illustrate: The inform is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The inform is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
duty,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The duty is important.,duty(은) 는 중요하다.,학습,초등학교 6 학년 과학,,,"cartoon style, laboratory, science experiment, illustrate: The duty is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The duty is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
evaluate,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The evaluate is important.,evaluate(은) 는 중요하다.,관심사,인공지능,,,"cartoon style, robot, futuristic, illustrate: The evaluate is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The evaluate is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
minimum,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The minimum is important.,minimum(은) 는 중요하다.,학습,초등학교 6 학년 사회,,,"cartoon style, classroom, social studies, illustrate: The minimum is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The minimum is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
introduction,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The introduction is important.,introduction(은) 는 중요하다.,관심사,소설 쓰기,,,"cartoon style, writing desk, notebook, illustrate: The introduction is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The introduction is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
photograph,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The photograph is important.,photograph(은) 는 중요하다.,학습,초등학교 6 학년 과학,,,"cartoon style, laboratory, science experiment, illustrate: The photograph is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The photograph is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
council,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The council is important.,council(은) 는 중요하다.,관심사,음악,,,"cartoon style, musical instruments, stage, illustrate: The council is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The council is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
conceal,뜻을 확인해야 함,명사,뜻을 확인해야 함,a 명사 related to 뜻을 확인해야 함,The conceal is important.,conceal(은) 는 중요하다.,학습,초등학교 6 학년 사회,,,"cartoon style, classroom, social studies, illustrate: The conceal is important., safe for children, clear and simple","8 second video, cartoon style: 0-2s introduce scene, 2-6s show action from 'The conceal is important.', 6-8s conclusion, safe for children, smooth animation",False,pending,success,0,,False
